3,,24388,,,,,,,,,,0.0,,,,"1,027.5",,,534.5,,,161.0,,,,,
4,,23405,,,,,,,,,,583.5,,,,0.0,,,471.0,,,538.0,,,,,
5,,23179,,,,,,,,,,583.5,,,,538.0,,,435.0,,,583.5,,,*,,
6,,26325,,,,,,,,,,"1,054.5",,,,0.0,,,420.0,,,424.5,,,*,,
7,,25849,,,,,,,,,,"1,054.5",,,,424.5,,,420.0,,,424.5,,,*,,
8,,22809,,,,,,,,,,"1,054.5",,,,849.0,,,315.0,,,366.0,,,,,
9,,27309,,,,,,,,,,"1,474.5",,,,0.0,,,538.0,,,471.0,,,*,,
10,,25474,,,,,,,,,,"1,474.5",,,,471.0,,,526.0,,,295.0,,,,,
11,,26322,,,,,,,,,,"1,474.5",,,,766.0,,,499.5,,,141.5,,,,,
12,,25508,,,,,,,,,,"1,474.5",,,,907.5,,,499.5,,,141.5,,,,,
13,,25901,,,,,,,,,,"1,474.5",,,,"1,049.0",,,499.5,,,141.5,,,,,
14,,24282,,,,,,,,,,"2,012.5",,,,0.0,,,420.0,,,424.5,,,*,,
15,,24673,,,,,,,,,,"2,012.5",,,,424.5,,,420.0,,,424.5,,,*,,
16,,26621,,,,,,,,,,"2,012.5",,,,849.0,,,315.0,,,366.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,583.5,,,,0.0,,583.5,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,583.5,,,|,,,
2,,0.0,,,,444.0,,583.5,,,444.0,,,583.5,,,"1,220.0",,,444.0,,,---,,,
3,,0.0,,,,"1,027.5",,583.5,,,"1,027.5",,,583.5,,,776.0,,,583.5,,,---,,,
4,,548.0,,,,444.0,,548.0,,,"1,027.5",,,583.5,,,583.5,,,548.0,,,|,,,
5,,0.0,,,,"1,188.5",,583.5,,,"1,188.5",,,583.5,,,192.5,,,161.0,,,---,,,
6,,534.5,,,,"1,027.5",,534.5,,,"1,188.5",,,583.5,,,161.0,,,534.5,,,|,,,
7,,"1,054.5",,,,0.0,,"1,054.5",,,"1,220.0",,,"1,856.5",,,"1,220.0",,,471.0,,,|,,,
8,583.5,538.0,"1,054.5",538.0,471.0,"1,220.0",538.0,---
9,583.5,"1,121.5","1,054.5","1,121.5",471.0,682.0,583.5,---
10,"1,018.5",538.0,"1,018.5","1,121.5",471.0,583.5,435.0,|
11,"1,474.5",0.0,"1,474.5","1,220.0","1,385.5","1,220.0",420.0,|
12,"1,054.5",424.5,"1,474.5",424.5,420.0,"1,220.0",424.5,---
13,"1,054.5",849.0,"1,474.5",849.0,420.0,795.5,424.5,---
14,"1,054.5","1,215.0","1,474.5","1,215.0",420.0,371.0,366.0,---
15,"1,369.5",849.0,"1,369.5","1,215.0",420.0,366.0,315.0,|
16,"2,012.5",0.0,"2,012.5","1,220.0",965.5,"1,220.0",538.0,|
17,"1,474.5",471.0,"2,012.5",471.0,538.0,"1,220.0",471.0,---
18,"1,474.5",766.0,"2,012.5",766.0,538.0,749.0,295.0,---
19,"2,000.5",471.0,"2,000.5",766.0,538.0,295.0,526.0,|
20,"1,474.5",907.5,"2,012.5",907.5,538.0,454.0,141.5,---
21,"1,974.0",766.0,"1,974.0",907.5,538.0,141.5,499.5,|
22,"1,474.5","1,049.0","2,012.5","1,049.0",538.0,312.5,141.5,---
23,"1,974.0",907.5,"1,974.0","1,049.0",538.0,141.5,499.5,|
24,"1,474.5","1,190.5","2,012.5","1,190.5",538.0,171.0,141.5,---
25,"1,974.0","1,049.0","1,974.0","1,190.5",538.0,141.5,499.5,|
26,"2,432.5",0.0,"2,432.5","1,220.0",427.5,"1,220.0",420.0,|
27,"2,012.5",424.5,"2,432.5",424.5,420.0,"1,220.0",424.5,---
28,"2,012.5",849.0,"2,432.5",849.0,420.0,795.5,424.5,---
29,"2,012.5","1,215.0","2,432.5","1,215.0",420.0,371.0,366.0,---
30,"2,327.5",849.0,"2,327.5","1,215.0",420.0,366.0,315.0,|
,,,,,,,,
"Sum of cuts   (1 x 16,782.0)   16,782.0",,,,,,Count of cuts   (1 x 30)   30,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
10 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,22883,,,,,,,,,,0.0,,,,0.0,,,388.5,,,751.0,,,*,,
2,,26842,,,,,,,,,,0.0,,,,751.0,,,128.0,,,437.0,,,*,,
3,,25106,,,,,,,,,,388.5,,,,0.0,,,"1,314.5",,,435.0,,,,,
4,,24925,,,,,,,,,,388.5,,,,435.0,,,155.0,,,728.0,,,*,,
5,,22810,,,,,,,,,,"1,703.0",,,,0.0,,,155.0,,,728.0,,,*,,
6,,26689,,,,,,,,,,"1,703.0",,,,728.0,,,128.0,,,437.0,,,*,,
7,,25076,,,,,,,,,,"1,858.0",,,,0.0,,,521.0,,,399.5,,,*,,
8,,27235,,*,,,,,*,,,"1,858.0",,,,399.5,,,382.5,,,751.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,388.5,,,,0.0,,388.5,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,388.5,,,|,,,
2,,0.0,,,,751.0,,388.5,,,751.0,,,388.5,,,"1,220.0",,,751.0,,,---,,,
3,,0.0,,,,"1,188.0",,388.5,,,"1,188.0",,,388.5,,,469.0,,,437.0,,,---,,,
4,,128.0,,,,751.0,,128.0,,,"1,188.0",,,388.5,,,437.0,,,128.0,,,|,,,
5,,"1,703.0",,,,0.0,,"1,703.0",,,"1,220.0",,,"2,051.5",,,"1,220.0",,,"1,314.5",,,|,,,
6,,388.5,,,,435.0,,"1,703.0",,,435.0,,,"1,314.5",,,"1,220.0",,,435.0,,,---,,,
7,,388.5,,,,"1,163.0",,"1,703.0",,,"1,163.0",,,"1,314.5",,,785.0,,,728.0,,,---,,,
8,,543.5,,,,435.0,,543.5,,,"1,163.0",,,"1,314.5",,,728.0,,,155.0,,,|,,,
9,,"1,858.0",,,,0.0,,"1,858.0",,,"1,220.0",,,737.0,,,"1,220.0",,,155.0,,,|,,,
10,,"1,703.0",,,,728.0,,"1,858.0",,,728.0,,,155.0,,,"1,220.0",,,728.0,,,---,,,
11,,"1,703.0",,,,"1,165.0",,"1,858.0",,,"1,165.0",,,155.0,,,492.0,,,437.0,,,---,,,
12,,"1,831.0",,,,728.0,,"1,831.0",,,"1,165.0",,,155.0,,,437.0,,,128.0,,,|,,,
13,,"1,858.0",,,,399.5,,"2,440.0",,,399.5,,,582.0,,,"1,220.0",,,399.5,,,---,,,
14,,"2,379.0",,,,0.0,,"2,379.0",,,399.5,,,582.0,,,399.5,,,521.0,,,|,,,
15,,"1,858.0",,,,"1,150.5",,"2,440.0",,,"1,150.5",,,582.0,,,820.5,,,751.0,,,---,,,
16,"2,240.5",399.5,"2,240.5","1,150.5",582.0,751.0,382.5,|
,,,,,,,,
"Sum of cuts   (1 x 11,292.5)   11,292.5",,,,,,Count of cuts   (1 x 16)   16,,,
